"Timestamp","RuleTitle","Level","Computer","Channel","EventID","RecordID","Details","ExtraFieldInfo","RuleID"
"2025-07-16 17:19:24.049 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,75,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\589c1400-c059-4e3a-a86b-a0d68e498e60.tmp ¦ Proc: C:\Program Files\Google\Chrome\Application\chrome.exe ¦ PID: 2432 ¦ PGUID: 0F782B3F-B4E2-6877-EB00-000000000400","CreationUtcTime: 2025-07-16 14:19:24.019 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:24.019","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:26.025 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,77,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump.zip:Zone.Identifier ¦ Proc: C:\Program Files\Google\Chrome\Application\chrome.exe ¦ PID: 6192 ¦ PGUID: 0F782B3F-B4EC-6877-FB00-000000000400","CreationUtcTime: 2025-07-16 14:19:24.019 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:26.013","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:55.396 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,86,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2025-07-16 14:19:55.383 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:55.383","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:55.510 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,87,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump.exe ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2025-07-16 14:19:55.504 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:55.504","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:55.855 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,90,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump.exe:Zone.Identifier ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2022-11-03 12:55:14.000 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:55.847","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:56.021 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,94,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump64.exe ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2025-07-16 14:19:56.019 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:56.019","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:56.348 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,98,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump64.exe:Zone.Identifier ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2022-11-03 12:55:14.000 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:56.344","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:56.470 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,102,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump64a.exe ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2025-07-16 14:19:56.457 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:56.457","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:56.578 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,105,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\procdump64a.exe:Zone.Identifier ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2022-11-03 12:55:14.000 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:56.553","c5e6b545-73a4-4650-ae97-67c239005382"
"2025-07-16 17:19:56.609 +03:00","File Created (Sysmon Alert)","med","Windows10Lab","Sysmon",11,109,"Rule: Downloads ¦ Path: C:\Users\user\Downloads\Procdump\Eula.txt ¦ Proc: C:\Windows\Explorer.EXE ¦ PID: 4660 ¦ PGUID: 0F782B3F-B2BD-6877-6200-000000000400","CreationUtcTime: 2025-07-16 14:19:56.601 ¦ User: WINDOWS10LAB\user ¦ UtcTime: 2025-07-16 14:19:56.601","c5e6b545-73a4-4650-ae97-67c239005382"
